Run,Sigma,Rho,Adapt_Start,Adapt_stop,Length_run,Seed,ID
21,0.9,0.05,5000,50000,1000000,5,241
22,0.99,0.05,5000,50000,1000000,5,242
23,0.01,0.5,5000,50000,1000000,5,243
24,0.1,0.5,5000,50000,1000000,5,244
25,0.2,0.5,5000,50000,1000000,5,245
26,0.3,0.5,5000,50000,1000000,5,246
27,0.4,0.5,5000,50000,1000000,5,247
28,0.5,0.5,5000,50000,1000000,5,248
29,0.6,0.5,5000,50000,1000000,5,249
30,0.7,0.5,5000,50000,1000000,5,250
31,0.8,0.5,5000,50000,1000000,5,251
32,0.9,0.5,5000,50000,1000000,5,252
33,0.99,0.5,5000,50000,1000000,5,253
34,0.01,0.2,5000,50000,1000000,5,254
35,0.1,0.2,5000,50000,1000000,5,255
36,0.2,0.2,5000,50000,1000000,5,256
37,0.3,0.2,5000,50000,1000000,5,257
38,0.4,0.2,5000,50000,1000000,5,258
39,0.5,0.2,5000,50000,1000000,5,259
40,0.6,0.2,5000,50000,1000000,5,260
41,0.7,0.2,5000,50000,1000000,5,261
42,0.8,0.2,5000,50000,1000000,5,262
43,0.9,0.2,5000,50000,1000000,5,263
44,0.99,0.2,5000,50000,1000000,5,264
45,0.01,0.025,5000,50000,1000000,5,265
46,0.1,0.025,5000,50000,1000000,5,266
47,0.2,0.025,5000,50000,1000000,5,267
48,0.3,0.025,5000,50000,1000000,5,268
49,0.4,0.025,5000,50000,1000000,5,269
50,0.5,0.025,5000,50000,1000000,5,270
51,0.6,0.025,5000,50000,1000000,5,271
52,0.7,0.025,5000,50000,1000000,5,272
53,0.8,0.025,5000,50000,1000000,5,273
54,0.9,0.025,5000,50000,1000000,5,274
55,0.99,0.025,5000,50000,1000000,5,275
1,0.01,0.1,5000,50000,1000000,6,276
2,0.1,0.1,5000,50000,1000000,6,277
3,0.2,0.1,5000,50000,1000000,6,278
4,0.3,0.1,5000,50000,1000000,6,279
5,0.4,0.1,5000,50000,1000000,6,280
6,0.5,0.1,5000,50000,1000000,6,281
7,0.6,0.1,5000,50000,1000000,6,282
8,0.7,0.1,5000,50000,1000000,6,283
9,0.8,0.1,5000,50000,1000000,6,284
10,0.9,0.1,5000,50000,1000000,6,285
11,0.99,0.1,5000,50000,1000000,6,286
12,0.01,0.05,5000,50000,1000000,6,287
13,0.1,0.05,5000,50000,1000000,6,288
14,0.2,0.05,5000,50000,1000000,6,289
15,0.3,0.05,5000,50000,1000000,6,290
16,0.4,0.05,5000,50000,1000000,6,291
17,0.5,0.05,5000,50000,1000000,6,292
18,0.6,0.05,5000,50000,1000000,6,293
19,0.7,0.05,5000,50000,1000000,6,294
20,0.8,0.05,5000,50000,1000000,6,295
21,0.9,0.05,5000,50000,1000000,6,296
22,0.99,0.05,5000,50000,1000000,6,297
23,0.01,0.5,5000,50000,1000000,6,298
24,0.1,0.5,5000,50000,1000000,6,299
25,0.2,0.5,5000,50000,1000000,6,300
26,0.3,0.5,5000,50000,1000000,6,301
27,0.4,0.5,5000,50000,1000000,6,302
28,0.5,0.5,5000,50000,1000000,6,303
29,0.6,0.5,5000,50000,1000000,6,304
30,0.7,0.5,5000,50000,1000000,6,305
31,0.8,0.5,5000,50000,1000000,6,306
32,0.9,0.5,5000,50000,1000000,6,307
33,0.99,0.5,5000,50000,1000000,6,308
34,0.01,0.2,5000,50000,1000000,6,309
35,0.1,0.2,5000,50000,1000000,6,310
36,0.2,0.2,5000,50000,1000000,6,311
37,0.3,0.2,5000,50000,1000000,6,312
38,0.4,0.2,5000,50000,1000000,6,313
39,0.5,0.2,5000,50000,1000000,6,314
40,0.6,0.2,5000,50000,1000000,6,315
41,0.7,0.2,5000,50000,1000000,6,316
42,0.8,0.2,5000,50000,1000000,6,317
43,0.9,0.2,5000,50000,1000000,6,318
44,0.99,0.2,5000,50000,1000000,6,319
45,0.01,0.025,5000,50000,1000000,6,320
46,0.1,0.025,5000,50000,1000000,6,321
47,0.2,0.025,5000,50000,1000000,6,322
48,0.3,0.025,5000,50000,1000000,6,323
49,0.4,0.025,5000,50000,1000000,6,324
50,0.5,0.025,5000,50000,1000000,6,325
51,0.6,0.025,5000,50000,1000000,6,326
52,0.7,0.025,5000,50000,1000000,6,327
53,0.8,0.025,5000,50000,1000000,6,328
54,0.9,0.025,5000,50000,1000000,6,329
55,0.99,0.025,5000,50000,1000000,6,330
1,0.01,0.1,5000,50000,1000000,7,331
2,0.1,0.1,5000,50000,1000000,7,332
3,0.2,0.1,5000,50000,1000000,7,333
4,0.3,0.1,5000,50000,1000000,7,334
5,0.4,0.1,5000,50000,1000000,7,335
6,0.5,0.1,5000,50000,1000000,7,336
7,0.6,0.1,5000,50000,1000000,7,337
8,0.7,0.1,5000,50000,1000000,7,338
9,0.8,0.1,5000,50000,1000000,7,339
10,0.9,0.1,5000,50000,1000000,7,340
11,0.99,0.1,5000,50000,1000000,7,341
12,0.01,0.05,5000,50000,1000000,7,342
13,0.1,0.05,5000,50000,1000000,7,343
14,0.2,0.05,5000,50000,1000000,7,344
15,0.3,0.05,5000,50000,1000000,7,345
16,0.4,0.05,5000,50000,1000000,7,346
17,0.5,0.05,5000,50000,1000000,7,347
18,0.6,0.05,5000,50000,1000000,7,348
19,0.7,0.05,5000,50000,1000000,7,349
20,0.8,0.05,5000,50000,1000000,7,350
21,0.9,0.05,5000,50000,1000000,7,351
22,0.99,0.05,5000,50000,1000000,7,352
23,0.01,0.5,5000,50000,1000000,7,353
24,0.1,0.5,5000,50000,1000000,7,354
25,0.2,0.5,5000,50000,1000000,7,355
26,0.3,0.5,5000,50000,1000000,7,356
27,0.4,0.5,5000,50000,1000000,7,357
28,0.5,0.5,5000,50000,1000000,7,358
29,0.6,0.5,5000,50000,1000000,7,359
30,0.7,0.5,5000,50000,1000000,7,360
31,0.8,0.5,5000,50000,1000000,7,361
32,0.9,0.5,5000,50000,1000000,7,362
33,0.99,0.5,5000,50000,1000000,7,363
34,0.01,0.2,5000,50000,1000000,7,364
35,0.1,0.2,5000,50000,1000000,7,365
36,0.2,0.2,5000,50000,1000000,7,366
37,0.3,0.2,5000,50000,1000000,7,367
38,0.4,0.2,5000,50000,1000000,7,368
39,0.5,0.2,5000,50000,1000000,7,369
40,0.6,0.2,5000,50000,1000000,7,370
41,0.7,0.2,5000,50000,1000000,7,371
42,0.8,0.2,5000,50000,1000000,7,372
43,0.9,0.2,5000,50000,1000000,7,373
44,0.99,0.2,5000,50000,1000000,7,374
45,0.01,0.025,5000,50000,1000000,7,375
46,0.1,0.025,5000,50000,1000000,7,376
47,0.2,0.025,5000,50000,1000000,7,377
48,0.3,0.025,5000,50000,1000000,7,378
49,0.4,0.025,5000,50000,1000000,7,379
50,0.5,0.025,5000,50000,1000000,7,380
51,0.6,0.025,5000,50000,1000000,7,381
52,0.7,0.025,5000,50000,1000000,7,382
53,0.8,0.025,5000,50000,1000000,7,383
54,0.9,0.025,5000,50000,1000000,7,384
55,0.99,0.025,5000,50000,1000000,7,385
1,0.01,0.1,5000,50000,1000000,8,386
2,0.1,0.1,5000,50000,1000000,8,387
3,0.2,0.1,5000,50000,1000000,8,388
4,0.3,0.1,5000,50000,1000000,8,389
5,0.4,0.1,5000,50000,1000000,8,390
6,0.5,0.1,5000,50000,1000000,8,391
7,0.6,0.1,5000,50000,1000000,8,392
8,0.7,0.1,5000,50000,1000000,8,393
9,0.8,0.1,5000,50000,1000000,8,394
10,0.9,0.1,5000,50000,1000000,8,395
11,0.99,0.1,5000,50000,1000000,8,396
12,0.01,0.05,5000,50000,1000000,8,397
13,0.1,0.05,5000,50000,1000000,8,398
14,0.2,0.05,5000,50000,1000000,8,399
15,0.3,0.05,5000,50000,1000000,8,400
16,0.4,0.05,5000,50000,1000000,8,401
17,0.5,0.05,5000,50000,1000000,8,402
18,0.6,0.05,5000,50000,1000000,8,403
19,0.7,0.05,5000,50000,1000000,8,404
20,0.8,0.05,5000,50000,1000000,8,405
21,0.9,0.05,5000,50000,1000000,8,406
22,0.99,0.05,5000,50000,1000000,8,407
23,0.01,0.5,5000,50000,1000000,8,408
24,0.1,0.5,5000,50000,1000000,8,409
25,0.2,0.5,5000,50000,1000000,8,410
26,0.3,0.5,5000,50000,1000000,8,411
27,0.4,0.5,5000,50000,1000000,8,412
28,0.5,0.5,5000,50000,1000000,8,413
29,0.6,0.5,5000,50000,1000000,8,414
30,0.7,0.5,5000,50000,1000000,8,415
31,0.8,0.5,5000,50000,1000000,8,416
32,0.9,0.5,5000,50000,1000000,8,417
33,0.99,0.5,5000,50000,1000000,8,418
34,0.01,0.2,5000,50000,1000000,8,419
35,0.1,0.2,5000,50000,1000000,8,420
36,0.2,0.2,5000,50000,1000000,8,421
37,0.3,0.2,5000,50000,1000000,8,422
38,0.4,0.2,5000,50000,1000000,8,423
39,0.5,0.2,5000,50000,1000000,8,424
40,0.6,0.2,5000,50000,1000000,8,425
41,0.7,0.2,5000,50000,1000000,8,426
42,0.8,0.2,5000,50000,1000000,8,427
43,0.9,0.2,5000,50000,1000000,8,428
44,0.99,0.2,5000,50000,1000000,8,429
45,0.01,0.025,5000,50000,1000000,8,430
46,0.1,0.025,5000,50000,1000000,8,431
